slug,id,sofascore_id
karol-struski,553562,990140
tomasz-tymosiak,221957,226662
aron-stasiak,387265,915600
michal-golinski,531394,1020546
pawel-perdun,844178,1094112
igor-korczakowski,385765,956611
dawid-tkacz,718161,1111453
sergiy-krykun,452524,1082172
aleksander-jagiello,212453,189131
bartosz-spiaczka,190413,157733
pawel-wojciechowski,70878,43415
przemyslaw-banaszak,447367,890785
gabriel-kobylak,559998,1009284
mateusz-gorski,384778,995342
krzysztof-wroblewski,747746,1108403
kamil-galka,895113,1121927
mateusz-skrzypczak,345454,981527
ivan-hladik,155577,94158
michal-czarny,144744,120865
edgaras-zarskis,208444,102448
mateusz-bartkow,129966,54110
marcin-stefanik,41637,72983
michal-zajac,655702,
michal-mikolajczyk,218418,338169
erik-cikos,90354,67359
jakub-serafin,343400,
konrad-stepien,264938,348390
karol-knap,800664,1063187
longinus-uwakwe,44055,60967
jakub-belski,836616,1117660
kacper-cichon,573868,
sebastian-gorski,280711,956812
michal-klec,296538,372670
bartosz-zurek,199127,110772
kacper-stoklosa,883575,1117604
hubert-tomalski,288827,761216
daniel-wolak,697778,1116180
tomasz-mucha,866728,1111623
