id,season,title,league_href,matches,goals,own_goal,from_bench,changes,yellow_card,two_yellow_card,red_card,lose_goals,clean_sheet,minutes
385522,2016/2017,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,0,0,0,0,0,0,0,0,0,0,0
385522,2015/2016,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,23,0,0,0,0,2,0,0,28,5,2070
605779,2023/2024,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,6,0,0,0,0,0,0,0,10,1,540
605779,2022/2023,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,25,0,0,0,1,2,0,0,26,8,2194
605779,2022/2023,Baraze o udzial w Ekstraklasie,/aufstiegsplayoffs-ekstraklasa/startseite/wettbewerb/BAPO,2,0,0,0,0,2,0,0,3,0,210
605779,2022/2023,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
605779,2021/2022,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,14,0,0,0,0,0,0,0,24,3,1260
605779,2021/2022,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,1,0,0,0,0,0,0,0,5,0,90
605779,2021/2022,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,1,0,0,0,0,0,0,0,1,0,90
605779,2020/2021,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
605779,2020/2021,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,0,0,0,0,0,0,0,0,0,0,0
605779,2019/2020,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,0,0,0,0,0,0,0,0,0,0,0
605779,2018/2019,CLJ,/zentrale-jugendliga/startseite/wettbewerb/PLZJ,26,0,0,0,1,2,0,0,53,2,2334
384157,2023/2024,3 Liga - Grupa I,/3-liga-gruppe-i/startseite/wettbewerb/PL31,22,0,0,0,0,1,0,0,27,8,1980
384157,2021/2022,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,6,0,0,0,0,0,0,0,8,2,540
384157,2021/2022,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
384157,2020/2021,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,9,0,0,0,0,0,0,0,15,1,810
384157,2020/2021,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
384157,2018/2019,3 Liga - Grupa IV,/3-liga-gruppe-iv/startseite/wettbewerb/PL34,32,0,0,0,1,2,0,0,25,15,2825
384157,2017/2018,3 Liga - Grupa IV,/3-liga-gruppe-iv/startseite/wettbewerb/PL34,8,0,0,0,0,0,0,0,10,3,720
384157,2016/2017,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,5,0,0,0,1,0,0,0,11,1,435
384157,2016/2017,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
384157,2015/2016,CLJ - Grupa Wschodnia,/zentrale-jugendliga-ost-bis-17-18-/startseite/wettbewerb/PLJW,2,0,0,0,1,0,0,0,3,0,165
384157,2015/2016,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
53442,2022/2023,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,11,0,0,0,0,1,0,0,18,4,990
53442,2022/2023,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
53442,2021/2022,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,34,0,0,0,0,3,0,0,36,13,3060
53442,2021/2022,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
53442,2020/2021,Fortuna 1 Liga,/fortuna-1-liga/startseite/wettbewerb/PL2,21,0,1,0,0,1,0,0,24,7,1890
53442,2019/2020,2 Liga,/ewinner-ii-liga/startseite/wettbewerb/PL2L,14,0,0,0,0,2,0,0,15,6,1260
53442,2019/2020,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,0,0,0,0,0,0,0,0,0,0,0
53442,2019/2020,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
53442,2017/2018,Ekstraklasa,/pko-ekstraklasa/startseite/wettbewerb/PL1,1,0,0,0,0,0,0,0,2,0,90
53442,2017/2018,Fortuna Puchar Polski,/fortuna-polnischer-pokal/startseite/pokalwettbewerb/POPU,0,0,0,0,0,0,0,0,0,0,0
53442,2016/2017,Premyer Liqa,/premyer-liqasi/startseite/wettbewerb/AZ1,1,0,0,0,0,0,0,0,2,0,90
53442,2016/2017,Liga Europy,/europa-league/startseite/pokalwettbewerb/EL,0,0,0,0,0,0,0,0,0,0,0
53442,2016/2017,Kwalifikacje do Ligi Europy,/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,0,0,0,0,0,0,0,0,0,0,0
53442,2015/2016,Premyer Liqa,/premyer-liqasi/startseite/wettbewerb/AZ1,3,0,0,1,0,0,0,0,1,2,263
53442,2015/2016,Liga Europy,/europa-league/startseite/pokalwettbewerb/EL,1,0,0,0,0,0,0,0,4,0,90
53442,2015/2016,Kwalifikacje do Ligi Europy,/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ,0,0,0,0,0,0,0,0,0,0,0
