id,slug,name,place_of_birth,brith_date,nationality,height,position,manager
280939,taras-romanczuk,Taras Wiktorowycz Romanczuk,Kovel,14.11.1991,Polska,1.86,Defensywny pomocnik,
180538,martin-pospisil,Martin Pospisil,Belkovice-Lastany,26.06.1991,Czechy,1.78,Defensywny pomocnik,
53719,ariel-borysiuk,,Biala Podlaska,29.07.1991,Polska,1.80,Defensywny pomocnik,
658153,jakub-orpik,,Bialystok,,Polska,1.83,Defensywny pomocnik,Mariusz Kulesza
618392,oliwier-wojciechowski,Oliwier Wojciechowski,,5.04.2005,Polska,1.72,Defensywny pomocnik,
287194,fernan-lopez,Fernan Ferreiroa Lopez,Nigran,10.02.1995,Hiszpania,1.69,Srodkowy pomocnik,
258534,konrad-wrzesinski,Konrad Wrzesinski,Pultusk,10.09.1993,Polska,1.77,Prawy pomocnik,
293372,kris-twardek,Kristopher David Twardek,"Toronto, Ontario",8.03.1997,Kanada,1.86,Prawy pomocnik,
176423,jesus-imaz,Jesus Imaz Balleste,Lleida,26.09.1990,Hiszpania,1.74,Ofensywny pomocnik,EGGO Asesores ...
162039,juan-camara,Juan del Carmen Camara Mesa,Jaen,13.02.1994,Hiszpania,1.84,Ofensywny pomocnik,
287319,przemyslaw-mystkowski,Przemyslaw Mystkowski,Bialystok,25.04.1998,Polska,1.78,Ofensywny pomocnik,
65347,dani-quintana,Daniel Quintana Sosa,Las Palmas de Gran ...,8.03.1987,Hiszpania,1.73,Ofensywny pomocnik,
293063,kamil-wojtkowski,,Sokolow Podlaski,26.02.1998,Polska,1.73,Ofensywny pomocnik,
453141,mateusz-wyjadlowski,Mateusz Wyjadlowski,Krakow,4.01.2000,Polska,1.77,Ofensywny pomocnik,
628556,krzysztof-toporkiewicz,Krzysztof Toporkiewicz,Limanowa,21.04.2002,Polska,1.76,Ofensywny pomocnik,INNfootball
140540,fedor-cernych,Chernykh Fiodor Ivanovich,Moskau,21.05.1991,Litwa,1.83,Lewy napastnik,
152693,tomas-prikryl,Tomas Prikryl,Olomouc,4.07.1992,Czechy,1.77,Prawy napastnik,
153033,maciej-makuszewski,,Grajewo,29.09.1989,Polska,1.76,Prawy napastnik,
587156,maciej-bortniczuk,,Bialystok,6.09.2001,Polska,1.81,Prawy napastnik,
217751,jakov-puljic,Jakov Puljic,Vinkovci,4.08.1993,Chorwacja,1.87,Srodkowy napastnik,
475802,bartosz-bida,Bartosz Bida,Rzeszow,21.02.2001,Polska,1.75,Srodkowy napastnik,BMG-SPORT
164489,szymon-sobczak,Szymon Sobczak,Zakopane,7.12.1992,Polska,1.81,Srodkowy napastnik,
819692,jakub-lutostanski,Jakub Lutostanski,Zambrow,17.09.2004,Polska,1.82,Srodkowy napastnik,Mariusz Kulesza
577588,maciej-twarowski,Maciej Twarowski,Bialystok,13.03.2001,Polska,1.88,Srodkowy napastnik,Mariusz Kulesza
521634,karol-niemczycki,Karol Niemczycki,Krakow,5.07.1999,Polska,1.90,Bramkarz,SEG
74941,lukas-hrosso,Lukas Hrosso,Nitra,19.04.1987,Slowacja,1.95,Bramkarz,
57581,michal-peskovic,Michal Peskovic,Partizanske,8.02.1982,Slowacja,1.88,Bramkarz,
356755,adam-wilk,Adam Wilk,Krakow,21.11.1997,Polska,1.97,Bramkarz,FairSport
821352,norbert-luczak,Norbert Luczak,Poznan,11.08.2003,Polska,1.92,Bramkarz,
255383,michal-helik,Michal  Slawomir Helik,Chorzow,9.09.1995,Polska,1.91,Srodkowy obronca,CAA Stellar
242846,dawid-szymonowicz,,Lidzbark Warminski,7.07.1995,Polska,1.85,Srodkowy obronca,FairSport
316445,matej-rodin,,Split,13.02.1996,Chorwacja,1.94,Srodkowy obronca,
296227,ivan-marquez,Ivan Marquez Alvarez,Marbella,9.06.1994,Hiszpania,1.91,Srodkowy obronca,
113575,david-jablonsky,David Jablonsky,Sokolov,,Czechy,1.90,Srodkowy obronca,
242279,oleksiy-dytyatyev,Ditiat'iev Oleksii Oleksiiovich,"Nova Kakhovka, ...",7.11.1988,Ukraina,1.96,Srodkowy obronca,
599934,krystian-bracik,,Starachowice,18.03.2001,Polska,1.84,Srodkowy obronca,
650292,mateusz-pienczak,Mateusz Pienczak,Poznan,9.01.2003,Polska,1.89,Srodkowy obronca,
828756,jan-ziewiec,,Krakow,13.05.2004,Polska,1.89,Srodkowy obronca,INNfootball
697549,jakub-goralczyk,Jakub Goralczyk,Mikolow,14.09.2002,Polska,1.88,Srodkowy obronca,
697551,lukasz-ziemnik,Lukasz Ziemnik,Nowy Sacz,16.04.2002,Polska,1.91,Srodkowy obronca,
239957,michal-siplak,Michal Siplak,Bardejov,2.02.1996,Slowacja,1.84,Lewy obronca,FairSport
120104,diego-ferraresso,Diego Gustavo Ferraresso,"Serra Negra, Sao ...",21.05.1992,Bulgaria,1.71,Lewy obronca,
291232,milan-dimun,,Kosice,19.09.1996,Slowacja,1.88,Defensywny pomocnik,
426297,sylwester-lusiusz,Sylwester Lusiusz,Brzozow,18.09.1999,Polska,1.85,Defensywny pomocnik,
396690,radoslaw-kanach,Radoslaw Kanach,Rzeszow,3.04.1999,Polska,1.81,Defensywny pomocnik,
453410,mateusz-supryn,,Lublin,4.04.1999,Polska,1.80,Defensywny pomocnik,
242040,florian-loshaj,,Skenderaj,13.08.1996,Kosowo,1.74,Srodkowy pomocnik,
255972,damir-sadikovic,Damir Sadikovic,Koln,7.04.1995,Bosnia i Hercegowina,1.88,Srodkowy pomocnik,
528325,michal-wisniewski,Michal Wisniewski,Krakow,2.05.1999,Polska,1.81,Srodkowy pomocnik,
212806,sergiu-hanca,Sergiu Catalin Hanca,Targu Mures,4.04.1992,Rumunia,1.82,Prawy pomocnik,
96290,cornel-rapa,Cornel Emilian Rapa,Galati,16.01.1990,Rumunia,1.80,Prawy pomocnik,
384482,kamil-pestka,Kamil Pestka,Krakow,22.08.1998,Polska,1.89,Lewy pomocnik,
393568,patryk-zaucha,Patryk Zaucha,Tarnow,19.04.2000,Polska,1.75,Lewy pomocnik,
52791,michael-gardawski,Michal Gardawski,Koln,25.09.1990,Niemcy,1.77,Lewy pomocnik,
262613,pelle-van-amersfoort,,Heemskerk,1.04.1996,Holandia,1.93,Ofensywny pomocnik,
226070,ivan-fiolic,Ivan Fiolic,Zagreb,29.04.1996,Chorwacja,1.76,Ofensywny pomocnik,
687844,thiago,,Campo Grande,18.03.1997,Brazylia,1.77,Ofensywny pomocnik,
529548,michal-rakoczy,Michal Rakoczy,Jaslo,30.03.2002,Polska,1.77,Ofensywny pomocnik,
82173,marcin-budzinski,Marcin Budzinski,Gizycko,6.07.1990,Polska,1.84,Ofensywny pomocnik,
697556,przemyslaw-kapek,Przemyslaw Kapek,Tarnow,7.05.2003,Polska,1.77,Ofensywny pomocnik,
869950,maciej-mrozik,,,5.05.2005,Polska,1.73,Ofensywny pomocnik,
697554,jakub-myszor,Jakub Myszor,Tychy,7.06.2002,Polska,1.75,Ofensywny pomocnik,BMG-SPORT
528410,daniel-pik,,Pultusk,20.07.2000,Polska,1.77,Prawy napastnik,Profus Management
100453,jakub-kosecki,,Warszawa,29.08.1990,Polska,1.68,Prawy napastnik,
313968,rivaldinho,,Sao Paulo,29.04.1995,Brazylia,1.87,Srodkowy napastnik,
47944,marcos-alvarez,,Gelnhausen,30.09.1991,Niemcy,1.79,Srodkowy napastnik,
325215,filip-piszczek,,Nowy Targ,26.05.1995,Polska,1.90,Srodkowy napastnik,INNfootball
186393,tomas-vestenicky,Tomas Vestenicky,Topolcany,6.04.1996,Slowacja,1.78,Srodkowy napastnik,
384438,sebastian-strozik,Sebastian Strozik,Opole,15.05.1999,Polska,1.92,Srodkowy napastnik,
579770,tomasz-bala,Tomasz Bala,Rzeszow,8.02.2001,Polska,1.95,Srodkowy napastnik,
727114,jakub-gut,,Krakow,13.05.2003,Polska,1.77,Srodkowy napastnik,
80732,martin-chudy,Martin Chudy,Povazska Bystrica,23.04.1989,Slowacja,1.87,Bramkarz,
266239,dawid-kudla,Dawid Kudla,Ruda Slaska,21.03.1992,Polska,1.90,Bramkarz,
699645,jakub-grzesiak,,Bydgoszcz,22.02.2003,Polska,1.94,Bramkarz,
